Date,Open,High,Low,Close,Volume
2026-01-26,4.97,5.59,4.955,5.57,2378468
2026-01-27,5.57,5.68,5.2363,5.64,3532117
2026-01-28,5.64,5.66,5.075,5.16,2572819
2026-01-29,5.16,5.17,4.83,4.84,2379812
2026-01-30,4.85,4.96,4.79,4.8,3000371
2026-02-02,4.8,5.03,4.71,4.87,1581993
2026-02-03,4.81,4.91,4.62,4.8,1913548
2026-02-04,4.8,4.855,4.58,4.72,1587904
2026-02-05,4.69,4.72,4.29,4.4,2640478
2026-02-06,4.49,4.59,4.27,4.28,1914972
2026-02-09,4.26,4.33,4.18,4.3,942045
2026-02-10,4.26,4.33,4.04,4.07,1334315
2026-02-11,4.13,4.17,3.99,4.04,2188825
2026-02-12,4.11,4.19,3.575,3.64,2480517
2026-02-13,3.67,3.74,3.575,3.65,1548352
2026-02-17,3.6,3.64,3.25,3.37,1814891
2026-02-18,3.37,3.535,3.3,3.48,1585924
2026-02-19,3.46,3.46,3.26,3.43,1898099
2026-02-20,3.41,3.575,3.35,3.48,1615263
2026-02-23,3.43,3.47,3.0701,3.21,2130081
2026-02-24,3.21,3.25,3.125,3.2,2128100
2026-02-25,3.17,3.35,3.12,3.34,1514222
2026-02-26,3.35,3.535,3.35,3.41,2739395
2026-02-27,3.35,3.38,3.255,3.33,1526118
2026-03-02,3.23,3.36,3.16,3.23,568
2026-03-03,3.14,3.25,2.95,3.17,2137076
2026-03-04,3.22,3.315,3.14,3.18,648
2026-03-05,3.2,3.303,3.115,3.245,2451252
2026-03-06,3.15,3.255,3.03,3.23,1555762
2026-03-09,3.11,3.33,3.075,3.285,2721688
2026-03-10,3.26,3.6,3.25,3.465,3903193
2026-03-11,3.48,3.49,3.31,3.38,5096930
2026-03-12,3.35,3.4794,3.035,3.3,4243990
2026-03-13,3.28,3.3499,3.14,3.285,2224563
2026-03-16,3.29,3.33,3.14,3.14,1682936
2026-03-17,3.19,3.2914,3.155,3.19,1935056
2026-03-18,3.11,3.24,3.11,3.15,2084486
2026-03-19,3.1,3.375,3.08,3.31,2316179
2026-03-20,3.29,3.37,3.155,3.18,3774565
2026-03-23,3.27,3.435,3.27,3.32,2635058
2026-03-24,3.26,3.345,3.19,3.29,1863809
2026-03-25,3.34,3.445,3.31,3.43,1722140
2026-03-26,3.35,3.51,3.35,3.43,2463992
2026-03-27,3.39,3.455,3.315,3.33,3250926
2026-03-30,3.34,3.44,3.12,3.27,3148316
2026-03-31,3.31,3.47,3.25,3.31,2235006
2026-04-01,3.35,3.46,3.35,3.39,2059426
2026-04-02,3.41,3.505,3.31,3.4,2043906
2026-04-06,3.4,3.48,3.16,3.19,1948520
2026-04-07,3.16,3.18,3.035,3.11,1927549
2026-04-08,3.27,3.37,3.08,3.115,1775158
2026-04-09,3.1,3.205,3.01,3.18,1865119
2026-04-10,3.17,3.17,3.02,3.07,1839510
2026-04-13,3.02,3.26,3.01,3.24,1641374
2026-04-14,3.26,3.395,3.16,3.33,1438454
2026-04-15,3.36,3.715,3.3201,3.63,2021982
2026-04-16,3.63,3.74,3.595,3.7,1570454
2026-04-17,3.82,4.0091,3.8,3.85,2196876
2026-04-20,3.85,4.13,3.815,4.07,1574041
2026-04-21,4.08,4.08,3.92,3.97,1729201
2026-04-22,3.99,4.05,3.905,3.99,1781658
2026-04-23,4.01,4.06,3.73,3.79,1558388
2026-04-24,3.78,3.89,3.69,3.85,1301066
2026-04-27,3.852,3.906,3.73,3.735,1105004
2026-04-28,3.74,3.79,3.685,3.74,1072409
2026-04-29,3.7,3.78,3.62,3.67,1022731
2026-04-30,3.63,3.68,3.53,3.64,1970109
2026-05-01,3.67,3.83,3.665,3.79,1164164
2026-05-04,3.76,3.83,3.5,3.61,1479083
2026-05-05,3.62,3.815,3.61,3.71,1134923
2026-05-06,3.74,3.79,3.59,3.65,1577448
2026-05-07,3.61,3.715,3.45,3.6,1531615
2026-05-08,3.59,3.6,3.46,3.57,926035
2026-05-11,3.55,3.55,3.27,3.28,1415549
2026-05-12,3.23,3.28,3.12,3.21,1563798
2026-05-13,3.15,3.2,2.965,3.125,2263234
2026-05-14,3.15,3.19,3.07,3.1,1207156
2026-05-15,3.08,3.155,3.01,3.06,1286854
2026-05-18,3.05,3.1,2.98,3.07,2207867
2026-05-19,3.06,3.07,2.994,3.06,2459705
2026-05-20,3.06,3.2,2.95,3.2,3843404
2026-05-21,3.16,3.37,3.135,3.35,2314381
2026-05-22,3.36,3.43,3.29,3.33,1414779
2026-05-26,3.34,3.595,3.34,3.4,1917566
2026-05-27,3.44,3.63,3.395,3.53,1995954
2026-05-28,3.63,3.775,3.62,3.69,2524279
2026-05-29,3.68,3.685,3.55,3.56,1621207
2026-06-01,3.5,3.7,3.47,3.61,2197358
2026-06-02,3.64,3.64,3.47,3.52,946815
2026-06-03,3.53,3.53,3.405,3.43,1563447
2026-06-04,3.52,3.7,3.5,3.67,1429784
2026-06-05,3.635,3.675,3.365,3.425,1374740
