Date,Open,High,Low,Close,Volume
2026-01-20,35.41,37.25,33.62,35.46,35188325
2026-01-21,36.33,38.0,32.32,35.06,42153516
2026-01-22,35.45,36.14,33.88,34.74,29082839
2026-01-23,34.3,39.0,33.2157,37.69,48149227
2026-01-26,38.65,41.61,35.7159,36.18,48010797
2026-01-27,36.76,42.1,36.49,41.35,47555739
2026-01-28,42.15,42.27,38.8507,40.22,30478623
2026-01-29,39.68,39.89,36.99,38.07,30467103
2026-01-30,37.215,37.9599,33.53,33.88,30806642
2026-02-02,33.445,36.16,32.6201,34.8,23149371
2026-02-03,35.53,36.73,34.15,36.7,26691477
2026-02-04,36.44,36.58,29.75,31.54,38524256
2026-02-05,30.005,31.47,27.62,27.845,29119793
2026-02-06,29.6,35.085,29.24,34.95,44656467
2026-02-09,34.3,39.35,34.16,38.26,36871682
2026-02-10,37.64,39.98,37.35,37.47,24413952
2026-02-11,38.37,39.34,35.13,36.6,23902930
2026-02-12,37.09,37.23,34.5601,36.17,18236632
2026-02-13,35.87,37.47,33.52,35.28,22436994
2026-02-17,34.25,34.68,32.39,33.56,21378144
2026-02-18,31.32,33.45,30.3,31.91,24045550
2026-02-19,31.28,31.75,30.563,31.53,15011837
2026-02-20,30.87,31.29,28.365,29.04,23874570
2026-02-23,28.42,30.08,28.26,30.0,14692900
2026-02-24,29.565,31.29,28.96,30.66,18880814
2026-02-25,31.5,31.68,28.8275,29.08,19076900
2026-02-26,29.11,29.46,28.25,28.65,15916821
2026-02-27,27.51,27.74,26.075,27.27,18308412
2026-03-02,26.27,28.1897,25.93,27.93,16057120
2026-03-03,26.37,26.93,25.28,26.16,13745374
2026-03-04,27.15,28.95,27.05,28.65,17151844
2026-03-05,28.08,28.66,26.565,28.09,15913384
2026-03-06,27.02,28.41,25.07,25.14,20577015
2026-03-09,25.04,27.1661,24.41,27.03,18590105
2026-03-10,27.06,28.35,27.0,27.4,13808720
2026-03-11,27.89,29.425,27.75,28.52,17901497
2026-03-12,27.52,27.7888,26.545,27.48,14852138
2026-03-13,28.1,29.253,26.795,27.05,18724713
2026-03-16,28.58,29.08,27.375,27.71,14494487
2026-03-17,27.4,27.99,26.9,27.51,11388507
2026-03-18,27.4,27.76,26.6,26.65,12475863
2026-03-19,26.06,26.8624,25.42,26.7,12261439
2026-03-20,26.55,26.6,24.87,25.93,17456330
2026-03-23,26.415,27.65,26.16,27.26,14846988
2026-03-24,26.67,27.51,26.08,26.79,12831496
2026-03-25,27.6,28.655,26.79,28.37,14613832
2026-03-26,27.625,27.625,25.3,25.715,19579975
2026-03-27,25.45,25.45,23.28,23.76,17033556
2026-03-30,24.075,24.125,20.0,20.545,27139007
2026-03-31,21.295,23.79,21.03,23.74,23993110
2026-04-01,24.3,25.95,24.23,24.49,25220093
2026-04-02,22.78,24.95,22.62,24.56,19745771
2026-04-06,24.885,26.17,24.78,25.19,17887648
2026-04-07,25.05,25.59,24.38,25.18,20180866
2026-04-08,28.445,29.39,27.35,27.79,39795731
2026-04-09,26.05,27.4,25.07,25.57,35842891
2026-04-10,26.38,28.25,26.1,26.26,26413201
2026-04-13,25.655,27.87,25.56,27.6,21422401
2026-04-14,29.1,31.92,28.88,31.47,37953828
2026-04-15,31.44,31.79,29.6592,30.81,24272746
2026-04-16,31.19,31.35,29.42,30.09,15236539
2026-04-17,30.85,31.72,30.24,31.53,19767850
2026-04-20,30.935,32.55,30.3,32.19,22174325
2026-04-21,33.7,34.16,31.175,31.32,26536580
2026-04-22,32.5,33.1,31.31,32.43,17081980
2026-04-23,34.8,37.27,34.58,36.35,55485371
2026-04-24,37.47,38.54,34.82,34.98,35310345
2026-04-27,35.16,35.8795,33.31,33.67,20833310
2026-04-28,31.995,32.84,30.51,32.11,22493846
2026-04-29,32.31,32.7836,30.86,32.685,16979343
2026-04-30,33.21,35.35,33.2,34.25,21590714
2026-05-01,34.21,35.15,33.295,33.55,17041297
2026-05-04,33.64,36.24,32.01,35.63,23993353
2026-05-05,36.5,39.94,35.6865,39.88,32489839
2026-05-06,40.27,44.25,40.01,44.24,32688557
2026-05-07,43.32,43.85,40.16,41.53,25434911
2026-05-08,42.401,42.401,40.27,41.25,19715612
2026-05-11,40.38,46.6399,38.83,44.59,27374414
2026-05-12,43.84,45.394,41.05,43.93,20248342
2026-05-13,44.97,46.28,42.93,45.48,15283260
2026-05-14,45.39,47.79,44.195,46.71,16359256
2026-05-15,44.31,44.32,42.1,42.56,17723110
2026-05-18,43.085,43.0914,37.6,39.14,19632855
2026-05-19,37.75,38.79,35.68,36.62,15285920
2026-05-20,37.99,39.585,36.35,39.52,27508610
2026-05-21,42.37,48.5732,42.3,48.02,43074436
2026-05-22,47.59,48.5,45.4118,45.87,22215231
2026-05-26,48.395,48.85,44.72,45.14,22554199
2026-05-27,45.24,49.35,43.6801,48.98,25807693
2026-05-28,49.95,50.725,46.95,49.65,20470618
2026-05-29,49.4,49.4725,46.2,47.28,21831954
2026-06-01,47.015,49.96,45.01,47.94,17487220
2026-06-02,48.86,50.24,47.6301,47.86,17269240
2026-06-03,47.77,48.66,44.65,44.71,16325779
2026-06-04,43.33,44.8,41.86,44.15,14487398
2026-06-05,42.105,42.105,37.6901,39.615,21765249
